destination,city,country,continent,avg_flight_rt_sfo,avg_flight_ow_sfo,avg_flight_ow_jfk,avg_flight_rt_jfk,cost,budget,ease,months,optimal_months,beach,water_sports,yoga,tanning_cocktails,diving_snorkeling,historic,architecture,ruins,art,museums,nightlife,beach_lounge,bars,outdoor_festivals,city_club,outdoors,hiking,rafting,biking,creatures,luxury,winery,spa,city_stroll,shopping,culture,street_art_food,cooking_class,traditional_dance,yoga
Amsterdam,Amsterdam,Netherlands,Europe,$759,$459,$553,$356,$83,$52,5,"7, 8, 9",,,,,,,x,x,,x,x,x,,x,,x,,,,,,x,,,x,x,x,x,,,
Ankor Wat,Siem Reap,Cambodia,SE Asia,$638,$638,$651,$651,$31,$12,2.5,"1, 2, 11, 12",,,,,,,x,,x,,,,,x,,,x,x,,,,,,,,,x,x,x,x,
Antalya,Antalya,Turkey,Middle East,"$1,200","$1,200",$720,$720,$44,$17,3.5,"5, 6, 7, 8, 9, 10",,x,x,,x,x,x,,x,x,x,,,x,,x,x,,x,,,x,,x,x,,x,,x,,x
Auckland,Auckland,New Zealand,Pacific,"$1,200","$1,000","$1,200",$940,$131,$63,4.5,"1, 2, 3, 4, 5, 12",,,,,,,,,,,,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,
Bagan,Yangon,Myanmar,SE Asia,$668,$476,$725,$725,$42,$42,2.5,"1, 2, 3, 4, 11, 12",,,,,,,x,,x,x,,,,,,,x,,,x,,,,,,,x,x,x,,x
Bangkok,Bangkok,Thailand,SE Asia,$540,$540,$595,$595,$50,$20,3,"1, 2, 11, 12",,,,,,,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,x,x,x,x,x
Barcelona,Barcelona,Spain,Europe,$977,$450,$265,$506,$121,$46,4.5,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,Beach (Diving/Relaxing),x,x,x,x,x,,,,,x,,x,x,x,,,,,,x,,,,x,x,,,,
"Bariloche, Patagonia",Bariloche,Argentina,South America,,,,,,,4,"1, 2, 12",,,,,,,,,,,,,,,,,x,x,,x,x,x,x,,x,x,x,x,,,x
Berlin,Berlin,Germany,Europe,,,,,,,4.5,"8, 9",,,,,,,x,x,,x,x,x,,x,x,x,,,,,,x,,x,x,x,x,x,,,
"Blagaj, Bosnia",Sarajevo,Bosnia,Eastern Europe,,,,,,,3,"5, 6, 7, 8, 9",,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,x,,,,
Bordeaux,Bordeaux,France,Europe,,,,,,,4,"5, 6, 7, 8, 9",,Beach (Diving/Relaxing),,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Borobudur,Jakarta,Indonesia,SE Asia,,,,,,,2.5,"5, 6, 7, 8, 9",,,,,,,x,,x,x,,,,,,,x,x,,,,,,,,,x,x,,,
Buenos Aires,Buenos Aires,Argentina,South America,,,,,,,3,"4, 5, 6, 9, 10, 11, 12",,Beach (Diving/Relaxing),,,x,,x,x,,x,,x,,x,x,x,,,,,,x,,,x,,x,x,,x,x
Cape Town,Cape Town,South Africa,Africa,,,,,,,2.5,"1, 2, 3, 4, 10, 11, 12",,Beach (Diving/Relaxing),x,x,,x,x,,,x,x,x,,x,,x,x,x,,,,x,x,x,x,x,x,x,x,x ,x
Cappadocia,Istanbul,Turkey,Middle East,,,,,,,3,"5, 6, 9, 10",,,,,,,x,x,x,x,,,,,,,x,x,,,,,,,,,x,x,x,x,
Cartagena,Cartagena,Colombia,South America,,,,,,,2.5,"1, 2, 3, 4, 11, 12",,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Chiang Mai,Chiang Mai,Thailand,Asia,,,,,,,3.5,"1, 2, 3, 10, 11, 12",,,,,,,x,x,x,x,,x,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,x
Cinque Terre,Milan,Italy,Europe,,,,,,,4,"5, 6, 7, 8, 9",,,,,,,x,,,,,,,x,,,x,,,,,x,,,,,,,,,
Dead Sea,Amman,Jordan,Middle East,,,,,,,2.5,"3, 4, 5",,Beach (Diving/Relaxing),,,,,x,,,,,,,,,,,,,,,x,,x,,x,x,x,x,x,x
Dolomites,Venice,Italy,Europe,,,,,,,3.5,"5, 6, 7, 8, 9",,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,
Dubai,Dubai,UAE,Middle East,,,,,,,3.5,"1, 2, 3, 11, 12",,Beach (Diving/Relaxing),x,,,,,,,,,x,x,x,,x,,,,,,x,,x,,x,,,,,
Dubrovnik,Dubrovnik,Croatia,Eastern Europe,,,,,,,4.5,"5, 6, 7, 8, 9, 10, 11, 12",,Beach (Diving/Relaxing),x,,,,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,
"Durmitor, Montenegro",Podgorica,Montenegro,Eastern Europe,,,,,,,3,"3, 4, 5, 6, 7, 8, 9, 10",,,,,,,,,,,,x,,,,,x,x,x,x,,,,,,,x,,,,x
Easter Island,Easter Island,Chile,South America,,,,,,,3,"3, 4 10, 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburgh,Edinburgh,Scotland,Europe,,,,,,,4,"2, 3, 4, 5, 6, 7, 8, 9, 11, 12",,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,
"Luxor, Egypt",Cairo,Egypt,Middle East,,,,,,,3,"3, 4, 10, 11",,,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,x,x,,,
El Chalten,Patagonia,Argentina,South America,,,,,,,3.5,"1, 2, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence,Florence,Italy,Europe,,,,,,,4.5,"5, 6, 7, 8",,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Galapagos,Quito,Equador,South America,,,,,,,3,"1, 2, 3, 4, 5, 6, 12",,Beach (Diving/Relaxing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,Honolulu,USA,North America,,,,,,,5,"4, 5, 6, 9, 10, 11, 12",,Beach (Diving/Relaxing),x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Hong Kong,Hong Kong,Asia,,,,,,,3.5,"10, 11, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibiza,Ibiza,Spain,Europe,,,,,,,4.5,"5, 6, 7, 8, 9",,Beach (Diving/Relaxing),x,x,,x,,,,,,x,x,x,,x,,,,,,,,,,,,,,,
Reykavic,Reykavic,Iceland,Europe,,,,,,,4,"6, 7, 8, 9",,,,,,,,,,,,,,,,,x,x,,,x,,,x,x,x,x,,,,x
Jerusalem,Jerusalem,Israel,Middle East,,,,,,,3.5,"4, 5, 10, 11",,,,,,,x,,,,,,,,,,,,,,,,,x,x,,x,x,x,x,
Jodhpur,Mumbai,India,Asia,,,,,,,2.5,"4, 5, 6, 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koh Phangan,Koh Phangan,Thailand,SE Asia,,,,,,,3.5,"1, 2, 11, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koh Phi Phi,Koh Phi Phi,Thailand,SE Asia,,,,,,,3.5,"1, 2, 11, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kotor, Montengro",Dubrovnik,Croatia,Eastern Europe,,,,,,,4,"4, 5, 6, 7, 8, 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krabi,Krabi,Thailand,SE Asia,,,,,,,4,"1, 2, 3, 11, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyoto,Kyoto,Japan,Asia,,,,,,,4,"3, 4, 5, 10, 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Como,Milan,Italy,Europe,,,,,,,4.5,"4, 5, 6, 7, 8, 9, 10",,Beach (Diving/Relaxing),,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Lima,Lima,Peru,South America,,,,,,,3.5,"5, 6, 7, 8, 9, 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,London,England,Europe,,,,,,,5,"6, 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Los Angeles,USA,North America,,,,,,,5,"3, 4, 5, 9, 10, 11",,Beach (Diving/Relaxing),,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,
Machu Picchu,Cusco,Peru,South America,,,,,,,3.5,"4, 5, 6, 7, 8, 9, 10",,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Meteora,Athens,Greece,Europe,,,,,,,3,"5, 6, 7, 8, 9","5, 6",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Mexico City,Mexico City,Mexico,Central America,,,,,,,3,"1, 2, 3, 4, 12",,,,,,,x,,,,,x,,,,,,,,,,,,,,,x,,,,
Miami,Florida,USA,North America,,,,,,,5,"3, 4, 5, 6, 10, 11, 12","10, 11, 12",Beach (Diving/Relaxing),,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Montreal,Montreal,Canada,North America,,,,,,,5,"5, 6, 7, 8, 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,Moscow,Russia,Northern Europe,,,,,,,3,"5, 6, 7, 8, 9","5, 6, 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mostar, Bosnia",Sarajevo,Bosnia,Eastern Europe,,,,,,,3,"4, 5, 6, 7, 8, 9, 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munich,Munich,Germany,Europe,,,,,,,4,"8, 9","7, 8",,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,
New Orleans,New Orleans,USA,North America,,,,,,,4.5,"1, 2, 3, 4, 5, 10","1, 2, 10",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
New York City,New York City,USA,North America,,,,,,,4.5,"4, 5, 6, 7, 8, 9, 10, 11, 12","4, 8, 9",,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,
Paris,Paris,France,Europe,,,,,,,4.5,"5, 6, 7, 8, 9 ",,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Petra,Amman,Jordan,Middle East,,,,,,,4,"3, 4, 5, 9, 10","3, 4",,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,
Piran,Piran,Slovenia,Eastern Europe,,,,,,,4,"4, 5, 6, 7, 8, 9, 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pompeii,Naples,Italy,Europe,,,,,,,4,"3, 4, 5, 9, 10, 11","3, 4, 5",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Prague,Prague,Czech Republic,Europe,,,,,,,4,"7, 8, 9",9,,,,,,x,,,,,x,,,,,,,,,,,,,,,x,,,,
Reims,Reims,France,Europe,,,,,,,4,"5, 6, 7, 8",,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,
Rio De Jineiro,Rio De Jineiro,Brazil,South America,,,,,,,2.5,"1, 2, 3, 4, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome,Rome,Italy,Europe,,,,,,,4.5,"5, 6, 7, 8, 9",,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,
Saint Petersburg,Saint Petersburg,Russia,Europe,,,,,,,3,"5, 6, 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,San Francisco,USA,North America,,,,,,,5,"5, 6, 7, 8, 9, 10","9, 10",,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,
San Sebastian,San Sebastian,Spain,Europe,,,,,,,4,"5, 6, 7, 8",,Beach (Diving/Relaxing),,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Santiago,Santiago,Chile,South America,,,,,,,4,"1, 2, 3, 4, 9, 10, 11, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santorini,Athens,Greece,Europe,,,,,,,4,"4, 5, 10, 11",,Beach (Diving/Relaxing),,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,
Seoul,Seoul,South Korea,Asia,,,,,,,4.5,"3, 4, 5, 9, 10, 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seville,Madrid,Spain,Europe,,,,,,,4.5,"4, 5, 9, 10, 11","10, 11",,,,,,x,,,,,x,,,,,,,,,,,,,,,x,,,,
Shanghai,Shanghai,China,Asia,,,,,,,4,"9, 10, 11","10,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sintra,Lisbon,Portugal,Europe,,,,,,,4.5,"5, 6, 7, 8, 9","5, 6, 9",,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,
South of France,Nice,France,Europe,,,,,,,4.5,"5, 6, 7, 8","5, 8",Beach (Diving/Relaxing),,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Stockholm,Stockholm,Sweden,Europe,,,,,,,4.5,"5, 6, 7, 8","5, 6",,,,,,x,,,,,x,,,,,,,,,,,,,,,x,,,,
Sydney,Sydney,Australia,Pacific,,,,,,,4.5,"1, 2, 3, 4, 5, 9, 10, 11, 12","3, 4, 5, 9, 10, 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tel Aviv,Tel Aviv,Israel,Middle East,,,,,,,4,"3, 4, 9, 10, 11",,Beach (Diving/Relaxing),,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Tokyo,Tokyo,Japan,Asia,,,,,,,4.5,"3, 4, 8, 9, 10","8, 9, 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torres Del Paine,Punta Arenas,Chile,South America,,,,,,,3,"1, 2, 3, 4, 9, 10, 11, 12","4, 9, 10",,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Tulum,Tulum,Mexico,North America,,,,,,,4,"1, 2, 3, 4, 5, 10, 11, 12","4, 5, 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscany,Rome,Italy,Europe,,,,,,,4.5,"4, 5, 6, 7, 8, 9, 10","4, 5, 10",,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Ubud,Ubud,Indonesia,SE Asia,,,,,,,3,"4, 5, 6, 7, 8, 9, 10","4, 5, 6, 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancouver,Vancouver,Canada,North America,,,,,,,5,"3, 4, 5, 6, 7, 8, 9, 10, 11","3, 4, 5, 9, 10, 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venice,Venice,Italy,Europe,,,,,,,4,"4, 5, 6, 7, 8, 9, 10","4, 5, 9, 10",,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,
Wadi Rum,Amman,Jordan,Middle East,,,,,,,3.5,"3, 4, 5, 9, 10","3, 4",,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Washington DC,Washington DC,USA,North America,,,,,,,5,"5, 6, 7, 8, 9","5, 8, 9",,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,
Wine Country - Maipui,Mendoza,Argentina,South America,,,,,,,3.5,"1, 2, 3, 4, 10, 11, 12","10, 11, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellowstone,Jackson Hole,USA,North America,,,,,,,4,"4, 5, 6, 8, 9, 10, 11","4, 5, 6, 9, 10, 11",,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Agra,New Delhi,India,SE Asia,,,,,,,3.5,"1, 2, 3, 11, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathmandu,Kathmandu,Nepal,SE Asia,,,,,,,3,"3, 4, 5, 9, 10, 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigiriya,Colombo,Sri Lanka,SE Asia,,,,,,,3,"1, 2, 3, 4, 9, 10, 11, 12","1, 3",,,,,,x,,x,,,,,,,,x,x,,,,,,,,,x,x,x,x,x
Lukla,Kathmandu,Nepal,SE Asia,,,,,,,2.5,"1, 2, 3, 4, 9, 10, 11, 12","11, 12",,,,,,,,,,,,,,,,x,x,x,x,,,,,,,x,,,,
Olso,Olso,Norway,Northern Europe,,,,,,,4,"5, 6, 7, 8, 9","6, 7, 8",,,,,,x,x,,x,x,x,,x,,x,x,x,,x,,x,,x,x,x,,,,,
Boracay,Manila,Phillipines,Pacific,,,,,,,3.5,"1, 2, 3, 4, 5, 11, 12",,x,x,,x,x,,,,,,x,x,,,,x,x,,,x,x,,x,,,x,,,,x
Ngora Ngora Crater,"Nairobi, Kenya",Tanzania,Africa,,,,,,,2.5,"6, 7, 8, 9, 10","6, 7",,,,,,,,,,,,,,,,x,,,,xx,,,,,,x,,,,
Serengeti,"Nairobi, Kenya",Kenya,Africa,,,,,,,3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","1, 2, 6, 7, 8, 9",,,,,,,,,,,,,,,,x,x,,x,xx,,,,,,x,x,,x,